chapter,method,character,mention
37,span-based,Mr. Rochester,"He relinquished the endeavour, folded his arms, and stood quiet and mute in the rain, now falling fast on his uncovered head."
37,span-based,Mr. Rochester,"He sat in his chair—still, but not at rest: expectant evidently; the lines of now habitual sadness marking his strong features. His countenance reminded one of a lamp quenched, waiting to be re-lit."
37,span-based,Mr. Rochester,He remarked ere long. 'And what right would that ruin have to bid a budding woodbine cover its decay with freshness?'
37,span-based,Mr. Rochester,"He turned aside his face a minute, I saw a tear slide from under the sealed eyelid, and trickle down the manly cheek."
37,span-based,Mary,"Mary opened the door for me, and shut it behind me."
23,span-based,Mr. Rochester,"he strolls on, now lifting the gooseberry-tree branches to look at the fruit, large as plums, with which they are laden; now taking a ripe cherry from the wall; now stooping towards a knot of flowers, either to inhale their fragrance or to admire the dew-beads on their petals."
23,span-based,Mr. Rochester,"as I crossed his shadow, thrown long over the garden by the moon, he said quietly, without turning—"
23,span-based,Mr. Rochester,his mind was unconscious and quiet.
23,span-based,Mr. Rochester,"he said, again drawing me to him, 'because my equal is here, and my likeness.'"
23,span-based,Mr. Rochester,"His face was very much agitated and very much flushed, and there were strong workings in the features, and strange gleams in the eyes."
22,span-based,Georgiana Reed,I beheld one the cynosure of a ball-room
22,span-based,Eliza Reed,her plans required all her time and attention
22,span-based,Eliza Reed,she was about to depart for some unknown bourne
22,span-based,Eliza Reed,"she stayed in her own room, her door bolted within, filling trunks, emptying drawers, burning papers, and holding no communication with any one"
22,span-based,Mr. Rochester,he was writing
22,span-based,Mr. Rochester,he has seen me
22,span-based,Mr. Rochester,there is such a wealth of the power of communicating happiness
36,span-based,Diana Rivers,"I looked very pale, she observed."
36,span-based,Mr. Rochester,He was about forty
36,span-based,Mr. Rochester,"He was not so very handsome; but he had a courage and a will of his own, if ever man had."
20,span-based,Mr. Rochester,he had just descended from the upper storey
20,span-based,Mr. Rochester,his black eyes darted sparks
20,span-based,Mr. Rochester,"he looked as if he dared not move; fear, either of death or of something else, appeared almost to paralyse him"
20,span-based,Mr. Rochester,he stood in the gallery holding a light
20,span-based,Mr. Rochester,he fetched a basin of water from the washstand
20,span-based,Mr. Rochester,Mr. Rochester held the candle over him
20,span-based,Mr. Rochester,his paleness when he whispered
20,span-based,Mr. Rochester,I could not forget how the arm had trembled which he rested on my shoulder
20,span-based,Mr. Rochester,I saw Mr. Rochester shudder
20,span-based,Mr. Rochester,"a singularly marked expression of disgust, horror, hatred, warped his countenance almost to distortion"
20,span-based,Mr. Rochester,he let in all the daylight he could
20,span-based,Mr. Mason,"I recognised in his pale and seemingly lifeless face—the stranger, Mason"
20,span-based,Grace Poole,I shuddered at the thought of Grace Poole bursting out upon me
34,span-based,St. John Rivers,He looked grave.
34,span-based,St. John Rivers,I comprehended all at once that he would hardly make a good husband: that it would be a trying thing to be his wife.
34,span-based,St. John Rivers,"as by inspiration, the nature of his love for Miss Oliver; I agreed with him that it was but a love of the senses."
34,span-based,St. John Rivers,"I saw he was of the material from which nature hews her heroes—Christian and Pagan—her lawgivers, her statesmen, her conquerors: a steadfast bulwark for great interests to rest upon; but, at the fireside, too often a cold cumbrous column, gloomy and out of place."
34,span-based,St. John Rivers,St. John was a good man; but I began to feel he had spoken truth of himself when he said he was hard and cold.
34,span-based,St. John Rivers,"his lofty forehead, still and pale as a white stone—at his fine lineaments fixed in study."
34,span-based,St. John Rivers,St. John smiled slightly: still he was dissatisfied.
34,span-based,Mary,with Mary’s soft cheek.
34,span-based,Diana Rivers,with Diana’s flowing curls.
34,span-based,Jane,I felt as if this kiss were a seal affixed to my fetters.
34,span-based,Jane,I fell under a freezing spell.
34,span-based,Jane,"I had silently feared St. John till now, because I had not understood him."
34,span-based,Jane,"I sat at the feet of a man, erring as I."
35,span-based,St. John Rivers,"his eye was a cold, bright, blue gem"
35,span-based,St. John Rivers,his tongue a speaking instrument—nothing more
35,span-based,St. John Rivers,lips and cheeks turned white—quite white
35,span-based,St. John Rivers,"spoke in a cool, tranquil tone"
35,span-based,St. John Rivers,his fine voice sound at once so sweet and full
35,span-based,St. John Rivers,his manner become so impressive in its noble simplicity
35,span-based,St. John Rivers,"bending over the great old Bible, and described from its page the vision"
35,span-based,St. John Rivers,"his look was not, indeed, that of a lover beholding his mistress, but it was that of a pastor recalling his wandering sheep"
35,span-based,St. John Rivers,his nature was not changed by one hour of solemn prayer: it was only elevated
35,span-based,Diana Rivers,Diana was a great deal taller than I
35,span-based,Diana Rivers,"put her hand on my shoulder, and, stooping, examined my face"
35,span-based,Mr. Rochester,"the voice of a human being—a known, loved, well-remembered voice—that of Edward Fairfax Rochester"
21,span-based,Bessie,Bessie had retained her quick temper as well as her light foot and good looks.
21,span-based,Bessie,"Bessie sat on the hearth, nursing her last-born."
21,span-based,Mrs. Reed,"the well-known face was there: stern, relentless as ever."
21,span-based,Mrs. Reed,"there was that peculiar eye which nothing could melt, and the somewhat raised, imperious, despotic eyebrow."
21,span-based,Mrs. Reed,the night was warm.
21,span-based,Mrs. Reed,"I knew by her stony eye—opaque to tenderness, indissoluble to tears—that she was resolved to consider me bad to the last."
21,span-based,Georgiana Reed,"This was a full-blown, very plump damsel, fair as waxwork, with handsome and regular features, languishing blue eyes, and ringleted yellow hair."
21,span-based,Georgiana Reed,but its fashion was so different from her sister’s—so much more flowing and becoming—it looked as stylish as the other’s looked puritanical.
21,span-based,Mr. Brocklehurst,the very rug he had stood upon still covered the hearth.
